"","ID","Sad","Lonely","Jittery","Nervous","Angry","Hostile","Happy","Excited"
"77",177,NA,NA,NA,NA,NA,NA,NA,NA
"78",178,NA,NA,NA,NA,NA,NA,NA,NA
"79",179,NA,NA,NA,NA,NA,NA,NA,NA
"80",180,NA,NA,NA,NA,NA,NA,NA,NA
"81",182,NA,NA,NA,NA,NA,NA,NA,NA
"82",183,NA,NA,NA,NA,NA,NA,NA,NA
"83",184,NA,NA,NA,NA,NA,NA,NA,NA
"84",185,NA,NA,NA,NA,NA,NA,NA,NA
"85",186,NA,NA,NA,NA,NA,NA,NA,NA
"86",187,NA,NA,NA,NA,NA,NA,NA,NA
"87",188,NA,NA,NA,NA,NA,NA,NA,NA
"88",189,NA,NA,NA,NA,NA,NA,NA,NA
"89",190,NA,NA,NA,NA,NA,NA,NA,NA
"90",191,NA,NA,NA,NA,NA,NA,NA,NA
"91",192,NA,NA,NA,NA,NA,NA,NA,NA
"92",193,NA,NA,NA,NA,NA,NA,NA,NA
"93",194,NA,NA,NA,NA,NA,NA,NA,NA
"94",195,NA,NA,NA,NA,NA,NA,NA,NA
"95",196,NA,NA,NA,NA,NA,NA,NA,NA
"96",197,NA,NA,NA,NA,NA,NA,NA,NA
"97",198,NA,NA,NA,NA,NA,NA,NA,NA
"98",199,NA,NA,NA,NA,NA,NA,NA,NA
"99",200,NA,NA,NA,NA,NA,NA,NA,NA
"100",201,NA,NA,NA,NA,NA,NA,NA,NA
"101",202,NA,NA,NA,NA,NA,NA,NA,NA
