"","X","ID","day","Atease","Calm","Relaxed","Drowsy","Sluggish","Tired","Content","Pleased","Happy","Alert","Aroused","Hyperactivated","Miserable","Troubled","Unhappy","Sleepy","Quiet","Still","Afraid","Ashamed","Distressed","Guilty","Hostile","Irritable","Jittery","Nervous","Scared","Upset","Active","Alone","Attentive","Determined","Enthusiastic","Excited","Inspired","Interested","Proud","Strong"
"21",21,7,21,0.5,0.5,0,0.5,1,1,0,0,0,0.5,0,0,1,1,1,1,0.5,0.5,0.5,1,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0,1,0,0,0,0,0.5,0,0.5,0
"22",22,7,22,0.75,0.5,0.5,0.25,0.75,0.75,0.5,0.25,0.5,0.25,0.25,0.5,0.75,0.75,0.5,0.75,0.5,0.5,0.5,0.5,0.25,0.25,0,0.5,0.5,0.25,0.25,0.25,0.5,0.75,0.25,0,0.75,0.25,0.5,0.25,0.25,0.5
"23",23,7,23,0.25,0.75,0.75,0.75,0.25,0.75,0.25,0.25,0.25,0.75,0.25,0.25,0.5,0.75,0.75,0.75,0.75,0.25,0.75,0.75,0.25,0.25,0.25,0.25,0.25,0.75,0.75,0.25,0.75,0.75,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
"24",24,7,24,0.5,0.5,0.75,0,0,0,0.75,0.75,0.75,0.75,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0.5,0.5,0.5,0.75,0.5,0.5,0.5,0.75
"25",25,7,25,0.5,0.75,0.75,0.75,0.75,0.75,0,0.25,0,0,0,0,0.5,0.75,0.75,0.75,0.25,0.5,0.75,0.5,0.75,0.75,0,0,0,0.75,0.5,0.5,0,0.75,0.5,0.25,0,0.5,0.25,0.5,0.25,0.25
"26",26,13,1,0.5,0.25,0.25,0.75,0.25,0.75,0.5,0.75,0.5,0.25,0.75,0.25,0.75,0.75,0.75,0.75,0,0.5,0,0.5,0.75,0,0.75,0.75,0.75,0.75,0.25,1,0.75,0,0.5,0.75,0.25,0.75,0.25,0.5,1,0.5
"27",27,13,2,0.75,1,0.25,0,0,0.25,0.75,0.75,1,0.75,1,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,1,0,0.75,1,1,0.75,1,0.75,1,1
"28",28,13,3,0.5,0.75,0.25,0.75,1,0.75,0.5,0.75,0.5,0.25,0,0,0,0,0,0.75,1,0.5,0.5,0,0.5,0,0,0.5,0.75,0,0,0.5,0.5,0.75,0.5,0.25,0.5,0.5,0.5,0.5,0.5,0.25
"29",29,13,4,0.75,0.5,0.75,0,0,0.5,0.75,0.75,1,0.75,0.5,0.75,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,1,0,0.75,0.75,0.75,0.75,1,1,0.75,0.75
"30",30,13,5,0.75,0,0.25,0,0,0,0.75,0.75,0.75,0.75,1,0.75,0,0.5,0,0,0,0,0,0,0,0,0,0,0.75,0.5,0,0,0.75,0.25,0.75,0.75,0.5,0.75,0.75,0.5,0.5,0.75
"31",31,13,6,0.5,0.5,0.25,0,0,0,0.75,0.75,0.75,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.75,0.75,0.75,1,1,0.75,0.75,0.75
"32",32,13,7,0.75,0.25,0.5,0,0,0.25,0.75,1,0.75,0.75,0.75,0.75,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0.5,0,0,0.75,0,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
"33",33,13,8,0.5,0.5,0.5,0,0,0,1,0.75,1,0.75,0.75,0.5,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0.75,1,0,0.75,0.75,0.75,0.75,0.75,0.75,1,1
"34",34,13,9,0.5,0.5,0.75,0,0,0,0.75,0.75,0.5,0.5,0.25,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0.5,0.75,1,0,0.75,0.75,0.75,0.75
"35",35,13,10,0.75,0.25,0.75,0,0,0,1,0.75,0.5,0.75,0.5,0.5,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,1,0,0.75,0.75,0.75,0.5,0.75,1,0.75,0.75
"36",36,13,11,0.75,0,0.75,0,0,0,0.75,1,0.75,0.75,1,0.75,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.5,0,0,1,0,1,1,1,1,1,0.75,0.75,0.75
"37",37,13,12,0.5,0,0.75,0,0,0,0.5,1,1,0.75,1,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.25,0,0,1,0,0.75,1,1,1,1,1,0.75,1
"38",38,13,13,0.75,0.5,0.5,0,0,0,0.5,0.75,0.75,0.75,0.75,0.5,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.75,0,0.75,1,1,0.75,1,0.75,0.5,0.75
"39",39,13,14,0,0,0,0,0,0.25,0.5,0.5,0.25,0.5,1,0.25,0.75,0.5,0.75,0,0.75,0,0.75,0,1,0,0,0,1,1,0.75,0,0.5,0.75,0.75,0.25,0.25,0.5,0.5,0.75,0.5,0.25
"40",40,13,15,0,0.25,0,0,0,0,0.5,0.75,0.5,0.5,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0.75,0,0.75,0.5,0.75,0.75,0.75,0.75,0.5,0.5
"41",41,13,16,0.75,0.75,0.5,0.75,0.5,0.75,0.5,0.25,0.5,0.25,0.25,0,0,0,0,0.75,1,0.5,0,0,0,0.5,0,0,0,0,0,0,0.25,0.5,0,0,0,0,0,0,0,0.5
"42",42,13,17,0,0.25,0.5,0,0,0,0.5,0.5,0.75,0.75,0.75,0.5,0,0,0.25,0,0,0,0.5,0.5,0,0,0,0,0.75,0,0.5,0,0.75,0,0.75,0.75,0.5,0.75,0.75,0.75,0,0.5
"43",43,13,18,0.5,0,0.5,0,0,0,1,0.75,0.75,1,0.75,0.75,0,0,0,0,0,0,0,0,0,0,0,0.5,0.75,0,0,0,1,0.25,0.75,0.75,0.75,0.75,1,0.75,0.75,0.75
"44",44,13,19,0,0.5,0.5,0,0,0,0.75,0.75,0.75,0.75,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0.75,1,1,1,0.75,0.75
"45",45,13,20,0.5,0.5,0.5,0,0,0,0.5,0.75,0.75,0.75,0.75,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
"46",46,13,21,0.5,0.5,0.5,0,0,0.5,0.5,0.5,0.75,0.75,0.5,0.5,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0.75,0,0.75,0.5,0.5,0.75,0.75,0.75,0.75,0.5
"47",47,13,22,0,0.5,0.25,0,0,0,0.75,0.75,0.75,0.75,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
"48",48,13,23,0,0.25,0.5,0.75,0.75,1,0.5,0.5,0.5,0,0.5,0,0.5,0.75,0.5,1,0.75,0.75,0,0,0.25,0,0,0.5,1,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0
"49",49,13,24,0.75,0.75,0.75,0,0,0,0.75,0.75,0.75,0.75,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0.75,0.5,0.5,0.5,0.75,0.75,0.75,0.75
"50",50,13,25,0.75,0.75,0.5,0,0,0,0.75,0.75,0.75,0.75,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.75,0,0.75,0.5,0.5,0.75,0.75,0.75,0.75,0.75
"51",51,15,1,0.75,0.75,0.75,0.25,0,0.5,0.75,0.75,0.75,0.5,0.5,0,0,0,0,0.5,0.25,0,0,0,0,0,0,0.25,0.25,0.25,0,0,0.75,0.5,0.75,0.75,0.5,0.5,0.5,1,0,0.75
"52",52,15,2,0.75,0.25,0.5,0,0.25,0.25,0.75,0.25,0.25,0.25,0,0,0,0,0,0.25,0.5,0,0,0,0,0,0,0.25,0.5,0.75,0,0.25,0.75,0.25,0.75,0.75,0.5,0.25,0.5,0.5,0,0.75
"53",53,15,3,0.5,0.75,0.5,0.25,0.25,1,0.5,0.5,0.5,0.25,0,0,0,0,0,0.25,0.75,1,0,0,0.25,0,0,0.5,0.75,0.25,0,0,0.5,0.5,0.5,0.25,0.25,0.25,0.25,0.5,0,0.5
"54",54,15,4,0.75,0.5,0.75,0,0,0.5,1,0.75,1,0.75,0,0,0,0.25,0,0,0.5,0,0,0.5,0,0,0,0,0.25,0,0,0,0.75,0.25,1,1,0.75,0.75,1,0.75,0.25,0.75
"55",55,15,5,0.5,0.5,0.75,0,0.5,0.25,0.75,0.75,0.25,0.25,0.25,0.5,0.25,0,0.25,0.5,0.5,0,0,0,0.5,0.25,0,0.75,0.5,0.5,0,0.75,1,0.75,0.75,1,0.75,0.5,0.75,0.5,0,0.75
"56",56,15,6,0.25,0.5,0.75,0,0,0.25,0.75,0.75,0.75,0.75,0,0,0,0,0,0,0.5,0,0,0.25,0,0,0,0,0,0,0,0,0.5,0,0.75,0.5,0.5,0.5,0.25,0.5,0.25,0.75
"57",57,15,7,0.5,0.25,0.5,0,0.5,0.75,0.5,0.25,0.5,0.25,0,0,0,0,0,0.25,0.25,0,0.25,0,0,0,0,0,0.25,0.25,0,0,0.75,0.5,0.5,0.75,0.5,0.5,0.5,0.75,0,0.5
"58",58,15,8,0.5,0.75,0.25,0.25,0.25,0.75,0.25,0.25,0.25,0.25,0,0.25,0,0.75,0,0.25,0.75,0,0.25,0,0.25,0,0,0,0.5,0.25,0.25,0,0.5,0.75,0.5,0.25,0.5,0.25,0,0.25,0,0.5
"59",59,15,9,0.5,0.25,0,0,0.25,0.5,0.5,0.5,0.25,0.25,0,0.5,0,0.25,0,0.5,0.75,0,0.25,0,0.25,0,0,0.5,0.5,0.25,0,0,0.5,0.5,0.5,0.5,0.5,0.75,0.25,0.5,0,0.5
"60",60,15,10,0.25,0.5,0,0,0,0.5,0.75,0.75,0.5,0.25,0,0,0,0,0,0.25,0.5,0,0.25,0,0,0,0,0.25,0.25,0,0,0,0.75,0.25,0.75,0.75,0.75,0.75,0.75,0.75,0,0.5
"61",61,15,11,0.5,0.5,0.5,0,0,0.25,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.75,0.25,0.5,0.25,0.75,0,0.5
"62",62,15,12,0.5,0.5,0.5,0,0,0.25,0.75,0.75,0.25,0.75,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.75,0.75,1,0.75,0.75,1,0.75,0.75,0.25,0.75
"63",63,15,13,0.5,0.5,0.25,0,0.25,0.75,0.5,0.75,0.75,0.5,0.25,0,0,0.25,0,0.25,0.5,0,0.25,0,0,0,0,0,0,0,0,0,0.75,0.75,0.75,0.5,0.5,0.75,0.5,0.75,0.25,0.5
"64",64,15,14,0.5,0.5,0.25,0,0.25,0.5,0.75,0.5,0.5,0.75,0,0.25,0,0.25,0,0.25,0.5,0,0,0,0,0,0,0,0,0,0,0,0.75,0.25,0.75,0.5,0.5,0.75,0.5,0.5,0.5,0.5
"65",65,15,15,0.5,0.75,0.5,0,0,0.5,0.75,0.75,0.5,0.75,0.25,0,0,0.25,0,0.25,0.5,0,0,0,0,0,0,0,0.25,0,0,0,0.75,0.25,0.75,0.75,1,0.75,0.5,0.5,0.5,0.25
"66",66,15,16,0.25,0.5,0.25,0,0,0.25,0.75,0.5,0.5,0.5,0.25,0,0,0.5,0,0,0.5,0,0.5,0,0.5,0,0,0.25,0.5,0.5,0.25,0.25,0.75,0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.75,0.5
"67",67,15,17,0.25,0.75,0,0,0,0.5,0.5,0.5,0.25,0.25,0,0,0,0.5,0,0.25,0.5,0,0,0,0.5,0,0,0.25,0.25,0.25,0.25,0,0.25,0.5,0.5,0.25,0.25,0.25,0.25,0.5,0,0.25
"68",68,15,18,0.5,0.75,0.25,0.25,0.25,0.75,0.5,0.5,0.25,0.25,0,0,0,0.25,0,0.75,0.75,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0.25,0.5,0.25,0.25,0.5,0.25,0.5,0,0.25
"69",69,15,19,0.25,0.25,0.25,0,0.5,0.5,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5,0.25,0.5,0,0,0.25,0.5,0,0.25,0.5,0.5,0.25,0,0.5,0,0.5,0.25,0.25,0,0.5,0.25,0.25,0,0.25
"70",70,15,20,0.75,0.25,0.75,0,0,0.25,0.75,0.75,0.75,0.5,0,0.5,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,1,0.25,0.75,0.75,0.75,1,0.75,0.5,0.5,0.75
"71",71,15,21,0.5,0.75,0.25,0.25,0,1,0.25,0.25,0.25,0.25,0,0,0,0,0,0.75,0.75,0.5,0,0,0,0,0,0,0,0,0,0,0.25,0,0.5,0.25,0.25,0.25,0.25,0.5,0,0.25
"72",72,15,22,0.5,0.5,0.5,0,0,0.25,0.5,0.25,0.25,0.5,0,0,0,0,0,0.25,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0.25,0.5,0.5,0.25,0.25,0.5,0.5,0,0.5
"73",73,15,23,0.75,0.5,0.5,0,0,0.5,0.75,0.75,0.5,0.5,0.25,0,0,0,0,0.25,0.5,0,0,0,0,0,0,0,0.25,0,0,0,0.75,0.25,0.5,0.5,0.75,0.75,0.5,0.5,0.5,0.5
"74",74,15,24,0.5,0.5,0.25,0,0.5,0.5,1,0.75,0.75,0.25,0.25,0,0,0.25,0,0.25,0.5,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.5,0.5,0.75,0.5,0.5,0.5,0.5,0.25
"75",75,15,25,0.75,0.75,0.75,0,0.75,0.25,0.75,1,0.75,0.5,0.25,0,0,0.25,0,0,0.5,0,0,0,0.25,0,0,0,0.25,0,0,0,0.75,0.5,0.75,0.75,0.75,0.5,0.5,0.75,0.5,0.75
"76",76,17,1,0.75,1,0.75,0,0,0,0.75,0.75,0.5,0.5,0.25,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0.5,0,0,0.75,0,0.75,0.75,0.25,0.5,0.5,0.75,0.25,0.75
"77",77,17,2,0.75,0.25,0.75,0,0,0,1,0.75,0.5,0.75,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.75,0.5,0.25,0.25,0.75,0.75,0.25,0.5
"78",78,17,3,0.75,0.25,0.75,0,0,0,0.75,1,0.75,0.75,0.5,0,0,0.5,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,1,0,0.75,0.75,0.25,0.5,1,1,0.5,1
"79",79,17,4,0.75,0.75,0.75,0,0,0,0.75,0.5,0.25,0.25,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0.75,0.5,0.25,0.25,0.25,0.75,0.25,0.5
"80",80,17,5,0.75,0.5,0.5,0,0,0,0.25,0.5,0.5,0.5,0.25,0,0,0.75,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0.75,0,0.75,0.75,0.5,0.5,0.25,0.5,0.25,0.75
"81",81,17,6,0.25,0.5,0.25,0,0,0,0.25,0.5,0.5,0.5,0,0,0,0.75,0.25,0,0.5,0,0.25,0,0.5,0,0,0.5,0.5,0.5,0.25,0,0.5,0,0.75,0.75,0,0,0,0.75,0.5,0.5
"82",82,17,7,0.25,0.25,0.25,0.5,0,0.75,0.25,0.5,0.25,0,0,0,0.5,0.5,0.5,0.5,0.75,0.5,0.5,0,0.75,0,0,0,0.5,0.5,0.25,0,0.5,0,0.25,0.25,0,0,0.25,0.25,0,0.25
"83",83,17,8,0.5,0.75,0.75,0.5,0.25,0,0.5,0.25,0.25,0.25,0.25,0,0,0.25,0,0.25,0.5,0,0,0,0.5,0,0,0.5,0,0,0,0,0.25,0,0.5,0.25,0.25,0.25,0.5,0.75,0.25,0.25
"84",84,17,9,0.75,0.75,0.75,0,0,0,0.75,0.75,0.75,0.5,0.25,0,0,0.25,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0.75,0.5,0,0,0.25,0.75,0.5,0.25
"85",85,17,10,0.25,0,0.5,0,0,0,0.25,0.5,0.25,0.75,0,0,0,0.5,0.5,0,0.25,0,0.5,0,0,0,0,0,0.5,0.25,0,0,0.5,0,0.75,0.5,0,0.25,0.25,0.5,0.25,0.25
"86",86,17,11,0.5,0.75,0.5,0,0,0,0.75,0.75,0.75,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5,0.75,1,0.5,0.75,0.75,0.5,0.75
"87",87,17,12,0.25,0.75,0.25,0.25,0.25,0.5,0.25,0,0.25,0,0,0,0,0.5,0.25,0.5,0.75,0.75,0.25,0,0.75,0,0,0,0.75,0.25,0.25,0,0.5,0,0,0.25,0.25,0,0,0,0,0
"88",88,17,13,0.25,0.25,0,0.5,0.5,0.5,0.25,0,0,0,0,0,0.5,0.5,0.5,0.5,0.75,0.75,0.5,0.75,0.5,0,0,0,0.75,0.25,0.25,0.25,0,0.5,0,0,0,0,0,0,0,0
"89",89,17,14,0,0.25,0.25,0.5,0.5,0.75,0.25,0.5,0.25,0.5,0.25,0,0.5,0.5,0.5,0.25,0.5,0.5,0.25,0.5,0.5,0.5,0,0,0.75,0.5,0.5,0.25,0,0,0.25,0.25,0,0.25,0.25,0.25,0,0
"90",90,17,15,0,0,0.25,0,0,0,0,0.5,0.25,0.25,0,0,0.75,0.5,0,0,0.75,0.25,0.5,0.25,0.75,0.5,0,0,0.75,0.75,0.5,0,0,0,0.5,0,0.25,0.5,0,0.5,0,0
"91",91,17,16,0.5,0.5,1,0.25,0.5,0,0.75,0.75,0.75,0.75,0,0,0,0.5,0,0,0.25,0,0.5,0,0,0,0,0,0,0,0,0,0.25,0,0.75,0.25,0.25,0.5,0.5,0.5,0.25,0.25
"92",92,17,17,1,1,0.75,0,0,0,0.75,0.25,0.75,0.5,0.25,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.75,0.5,0.25,0.5,0.75,1,0.25,0.5
"93",93,17,18,0,0.25,0,0,0,0,0.25,0.25,0.25,0.5,0,0,0.25,0,0.25,0,0.5,0,0.25,0,0.5,0,0.5,0.5,0.5,0.5,0,0,0.75,0,0.5,0.25,0,0,0,0.5,0,0
"94",94,17,19,0.75,0.5,0.75,0,0,0,0.75,0.75,0.75,0.75,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0.5,0.75,0,1,0.75,0.75,0.75,0.5,0.75,0.5,0.5
"95",95,17,20,1,0.75,0.75,0,0,0,0.5,0.5,0.75,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0.75,0.5,0.5,0.5,0.75,0.75,0.5,1
"96",96,17,21,1,0.75,0.75,0,0,0,1,1,1,1,0.5,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,1,0,0.75,0.75,1,0.75,0.75,1,0.75,0.75
"97",97,17,22,0.5,0.75,0.75,0,0,0,0.75,0.5,0.75,0.5,0.75,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.75,0.25,1,1,1,0.25,0.5
"98",98,17,23,1,0.75,0.75,0,0,0,1,0.75,1,1,0.75,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0.75,1,1,0.75,1
"99",99,17,24,1,0.75,0.75,0,0,0,0.75,0.5,0.75,0.75,0.25,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0.75,0,0.75,0.75,0.25,0.75,0.5,1,0.75,0.75
"100",100,17,25,0,0,0.25,0,0,0,0,0,0,0.5,0.25,0,0,0.5,0.5,0,0.75,0.75,0.25,0.5,0.5,0.5,0,0,0,0.75,0.5,0,1,0.5,0.25,0.25,0,0.5,0.5,0.5,0,0.25
"101",101,21,1,0.25,0.25,0.25,0.5,0.75,0.75,0.25,0.25,0,0.5,1,0,0.75,0.75,1,0.25,0.5,0.5,0.75,0.5,0.75,0.75,0.25,0.75,1,0.75,0.75,0.75,0.5,0.75,0.5,0.5,0.5,0.5,0.75,0.5,0.25,0.25
"102",102,21,2,0.5,0.25,0.25,0.75,0.5,0.75,0.25,0.25,0.25,0,0,0,0,0.75,0.5,0.75,0.25,0.5,0,0,0.5,0,0,0,0.5,0,0,0,0.25,0.75,0.5,0.25,0.5,0.25,0.25,0.75,0.25,0.25
"103",103,21,3,0.5,0.75,0.75,0.25,0.25,0.5,0.75,0.75,0.75,0.75,0.5,0,0,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0,0,0,0.25,0.25,0,0,0.75,0.5,0.75,0.75,0.75,0.5,0.5,0.5,0.75,0.75
"104",104,21,4,0.5,0.5,0.25,0.25,0.25,0.5,0.75,0.75,0.75,0.25,0.25,0,0,0.25,0,0.5,0.25,0.25,0,0,0,0,0,0.25,0.5,0,0,0,0.5,0.25,0.25,0.75,0.5,0.75,0.5,0.75,0.5,0.5
"105",105,21,5,0.25,0.25,0.5,0.75,1,0.75,0.25,0.25,0.25,0.25,0.5,0,0.5,0.75,0.75,0.75,0.25,0.75,0.5,0.25,0.75,0.25,0.25,1,0.5,0.5,0.25,0.5,0.25,1,0.25,0.25,0.25,0.25,0.25,0.25,0,0
"106",106,21,6,0.25,0.5,0.25,0.75,0.75,0.75,0.25,0.5,0.25,0.25,0.25,0,0,0.75,0.75,0.75,0.5,0.5,0.25,0.25,0.75,0.25,0,0.5,0.75,0.25,0.25,0.25,0.25,0.75,0.5,0.25,0.25,0.5,0.5,0.5,0,0.25
"107",107,21,7,0.25,0.5,0.25,0.25,0.25,0.5,0.5,0.5,0.5,0.5,0.75,0,0,0.25,0,0.25,0.25,0.25,0,0.25,0.25,0,0,0.25,0.5,0.5,0,0.25,0.75,0.25,0.75,0.75,0.5,0.75,0.5,0.75,0.25,0.5
