"","X","ID","day","beep","observationID","Proud","Success","Superior","Angry","Envious","Resentful","Ashamed","Insecure","Enthusiastic","Relaxed","Anxious","Sad"
"49",49,1,9,2,49,0.6,0.6,0,0,0,0,0,0,0.8,0.8,0,0
"50",50,1,9,3,50,0.6,0.6,0,0,0,0,0,0.2,0.6,0.8,0,0
"51",51,1,9,4,51,0.8,0.6,0,0,0.6,0,0,0,1,1,0,0
"52",52,1,9,5,52,0.6,0.6,0,0,0,0,0,0,0.6,1,0,0
"53",53,1,9,6,53,0.6,0.6,0,0,0,0,0,0,0.6,0.8,0,0
"54",54,1,10,1,54,0.6,0.6,0,0,0,0,0,0,0.6,1,0,0
"55",55,1,10,2,55,0.4,0.4,0,0,0,0,0,0,0.6,1,0,0
"56",56,1,10,3,56,0.4,0.4,0,0,0,0,0,0,0.6,1,0,0
"57",57,1,10,4,57,0.6,0.6,0,0,0,0,0,0,0.4,0.8,0,0
"58",58,1,10,5,58,0.4,0.4,0,0.4,0.2,0,0,0,0.6,1,0,0
"59",59,1,10,6,59,0.4,0.4,0,0,0,0,0,0.4,0.2,0.8,0,0
"60",60,1,11,1,60,0.4,0.4,0,0,0,0,0,0,0.4,1,0,0
"61",61,1,11,2,61,0.6,0.6,0,0,0.4,0,0,0.4,0.6,0.8,0,0
"62",62,1,11,3,62,0.6,0.6,0,0,0,0,0,0,0.4,0.8,0,0
"63",63,1,11,4,63,0.6,0.6,0,0,0,0,0,0,0.6,0.8,0,0
"64",64,1,11,5,64,0.6,0.4,0,0,0,0,0,0,0.8,0.8,0,0
"65",65,1,11,6,65,0.6,0.2,0,0,0,0,0,0,0.6,1,0,0
"66",66,1,12,1,66,0.8,0.8,0.2,0,0,0,0,0,0.8,1,0,0
"67",67,1,12,2,67,0.6,0.6,0,0,0,0,0,0,0.6,0.8,0,0
"68",68,1,12,3,68,0.6,0.6,0,0,0,0,0,0,0.8,1,0,0
"69",69,1,12,4,69,0.8,0.8,0,0,0,0,0,0,0.8,1,0,0
"70",70,1,12,5,70,0.6,0.6,0,0,0,0,0,0,0.8,1,0,0
"71",71,1,13,1,71,0.6,0.6,0,0,0,0,0,0,0.8,0.8,0,0
"72",72,1,13,2,72,0.6,0.6,0,0,0,0,0,0,0.6,0.8,0,0
"73",73,1,13,3,73,0.6,0.6,0,0,0,0,0,0,0.6,0.8,0,0
"74",74,1,13,4,74,0.6,0.6,0,0,0,0,0,0,0.6,1,0,0
"75",75,1,13,5,75,0.6,0.6,0,0,0,0,0,0,0.8,1,0,0
"76",76,1,14,1,76,0.4,0.4,0,0,0,0,0,0,0.8,0.8,0,0
"77",77,1,14,2,77,0.6,0.6,0,0,0,0,0,0,0.6,1,0,0
"78",78,1,14,3,78,0.6,0.6,0,0,0.2,0,0,0,0.8,0.8,0,0
"79",79,1,14,4,79,0.8,0.8,0,0,0,0,0,0,1,1,0,0
"80",80,1,14,5,80,0.4,0.4,0,0,0,0,0,0,0.8,1,0,0
"81",81,1,14,6,81,0.6,0.6,0,0,0,0,0,0,0.6,1,0,0
"82",82,1,15,1,82,0.6,0.6,0.4,0,0,0,0,0.6,0.6,1,0,0
"83",83,1,15,2,83,0.4,0.6,0,0,0,0,0,0,0.6,1,0,0
"84",84,1,15,3,84,0.6,0.6,0,0,0,0,0,0.8,0.4,0.6,0.2,0
"85",85,1,15,4,85,0.6,0.6,0.6,0,0,0,0,0,0.6,0.8,0,0
"86",86,1,15,5,86,0.6,0.8,0,0,0,0,0,0,0.6,0.8,0,0
"87",87,1,15,6,87,0.6,0.6,0,0,0,0,0,0,0.6,0.8,0,0
"88",88,1,16,1,88,0.6,0.6,0,0.4,0,0,0,0.6,0.2,0.8,0.4,0
"89",89,1,16,2,89,0.2,0.4,0,0.2,0,0,0,0.6,0.2,0.4,0.6,0
"90",90,1,16,3,90,0.6,0.8,0.4,0,0,0,0,0,0.6,0.8,0,0
"91",91,1,16,4,91,0.2,0.6,0,0.2,0,0,0.4,0,0.6,0.6,0.2,0
"92",92,1,16,5,92,0.4,0.4,0,0,0,0,0,0.6,0.2,0.4,0.6,0.2
"93",93,1,16,6,93,0.6,0.6,0,0.4,0.4,0,0,0.8,0.4,0.2,0.6,0
"94",94,1,17,1,94,0,0,0,0.4,0,0,0.4,0,0.4,0.8,0,0
"95",95,1,17,2,95,0.6,0.6,0,0,0,0,0,0,0.6,0.8,0,0
"96",96,1,17,3,96,0.4,0.4,0,0.2,0,0,0,0.4,0.4,0.6,0.2,0
"97",97,1,17,4,97,0.4,0.4,0,0,0,0,0,0,0.2,0.8,0,0
"98",98,1,18,1,98,0.4,0.4,0.4,0,0,0,0,0.6,0,0.6,0,0
"99",99,1,18,2,99,0.6,0.6,0,0.8,0,0,0,0,0,0.4,0,0
"100",100,1,18,3,100,0.4,0.6,0,0.4,0,0,0,0.2,0.2,0.6,0.2,0.2
"101",101,1,18,4,101,0.6,0.6,0,0,0,0,0,0,0.4,0.2,0,0
"102",102,1,18,5,102,0.6,0.6,0,0.4,0,0,0,0,0.2,0.2,0,0
"103",103,1,19,1,103,0.4,0.4,0,0,0.2,0,0,0,0.6,0.8,0,0
"104",104,1,19,2,104,0.4,0.4,0,0.8,0,0,0,0,0.2,0.4,0,0
"105",105,1,19,3,105,0.4,0.6,0,0.2,0,0,0,0.2,0.4,0.8,0,0
"106",106,1,19,4,106,0.4,0.6,0,0,0,0,0,0.2,0.4,0.6,0,0
"107",107,1,19,5,107,0.4,0.6,0,0,0,0,0,0,0.4,0.8,0,0
"108",108,1,19,6,108,0.6,0.6,0,0,0,0,0,0,0.4,0.6,0,0
"109",109,1,20,1,109,0.6,0.6,0,0.2,0,0,0,0,0.6,0.8,0,0
"110",110,1,20,2,110,0.6,0.6,0,0.2,0,0,0.2,0.2,0.4,0.8,0.2,0
"111",111,1,20,3,111,0.4,0.6,0,0,0,0,0.2,0,0.4,0.6,0,0
"112",112,1,20,4,112,0.6,0.6,0.2,0.4,0,0,0,0,0.4,0.6,0,0
"113",113,1,20,5,113,0.4,0.6,0,0.2,0,0,0,0,0.4,0.6,0,0
"114",114,1,20,6,114,0.6,0.6,0,0,0,0,0,0,0.6,0.8,0,0
"115",115,1,21,1,115,0.4,0.4,0,0,0,0,0,0.2,0.4,0.8,0,0.2
"116",116,1,21,2,116,0.6,0.6,0,0,0,0,0,0,0.6,0.8,0,0
"117",117,1,21,3,117,0.8,0.8,0.2,0,0,0,0,0.2,0.8,0.8,0,0.2
"118",118,1,21,4,118,0.2,0.2,0,0,0,0,0.2,0.2,0.4,0.6,0,0
"119",119,1,21,5,119,0.6,0.6,0,0,0,0,0,0,0.8,0.8,0,0
"120",120,1,21,6,120,0.6,0.6,0,0,0,0,0,0,0.6,0.8,0,0
"121",121,1,22,1,121,0.4,0.4,0,0,0,0,0,0,0.6,0.8,0,0
"122",122,1,22,2,122,0.6,0.6,0,0.2,0,0,0,0,0.8,0.8,0,0
"123",123,1,22,3,123,0.6,0.6,0,0,0,0,0,0.4,0.4,0.8,0,0
"124",124,1,22,4,124,0.8,0.8,0.6,0,0,0,0,0,0.6,0.8,0,0
"125",125,1,22,5,125,0.6,0.6,0,0,0,0,0,0.4,0.6,0.8,0,0
"126",126,1,22,6,126,0.6,0.6,0,0,0.4,0,0,0,0.8,0.8,0,0
"127",127,1,23,1,127,0.6,0.6,0,0,0,0,0,0,0.4,0.8,0,0
"128",128,1,23,2,128,0.8,0.8,0,0,0,0,0,0.2,0.6,0.8,0,0
"129",129,1,23,3,129,0.6,0.8,0,0,0,0,0,0,0.6,0.8,0,0
"130",130,1,23,4,130,0.6,0.6,0,0,0,0,0,0,0.6,0.8,0,0
"131",131,1,23,5,131,0.6,0.6,0,0,0,0,0,0,0.6,0.8,0,0
"132",132,1,23,6,132,0.4,0.4,0,0,0,0,0,0,0.6,0.8,0,0
"133",133,1,24,1,133,0.6,0.6,0,0,0,0,0,0.2,0.6,0.6,0,0
"134",134,1,24,2,134,0.6,0.6,0,0,0,0,0,0,0.6,0.8,0,0
"135",135,1,24,3,135,0.6,0.6,0,0.2,0,0.2,0,0,0.6,0.8,0,0
"136",136,1,24,4,136,0.6,0.6,0,0,0,0,0,0,0.6,0.8,0,0
"137",137,1,24,5,137,0.4,0.4,0,0,0.4,0,0,0,0.6,0.8,0,0
"138",138,1,24,6,138,0.6,0.6,0,0,0,0,0,0,0.8,0.8,0,0
"139",139,1,25,1,139,0.6,0.6,0,0,0,0,0,0,0.6,0.8,0,0
"140",140,1,25,2,140,0.4,0.6,0,0.2,0,0,0.2,0.2,0.4,0.8,0,0
"141",141,1,25,3,141,0.8,0.8,0,0,0,0,0,0,0.8,0.8,0,0
"142",142,1,25,4,142,0.8,0.8,0,0,0,0,0,0.2,0.8,0.8,0,0
"143",143,1,25,5,143,0.4,0.4,0,0,0,0,0,0,0.6,0.8,0,0
"144",144,1,25,6,144,0.4,0.4,0,0,0,0,0,0,0.6,0.8,0,0
"145",145,1,26,1,145,0.6,0.6,0,0,0,0,0,0,0.6,0.8,0,0
"146",146,1,26,2,146,0.4,0.6,0,0,0,0,0.2,0,0.6,0.8,0,0
"147",147,1,26,3,147,0.6,0.6,0,0,0,0,0,0,0.6,0.8,0.2,0
"148",148,1,26,4,148,0.6,0.6,0,0,0,0,0,0.6,0,0.4,0.2,0
"149",149,1,26,5,149,0.6,0.6,0,0,0,0,0.2,0,0.4,0.6,0.2,0
"150",150,1,26,6,150,0.8,0.8,0,0,0,0.2,0,0.2,0.6,0.8,0,0
"151",151,1,27,1,151,0.6,0.6,0,0,0.4,0,0,0,0.8,0.8,0,0
"152",152,1,27,2,152,0.6,0.6,0,0,0,0,0,0.2,0.6,0.8,0,0
"153",153,1,27,3,153,0.4,0.4,0,0.4,0,0,0,0.2,0.4,0.8,0,0
"154",154,1,27,4,154,0.8,0.8,0,0,0,0,0,0.2,0.8,0.8,0,0
"155",155,1,27,5,155,0.4,0.6,0,0.4,0,0,0,0.2,0.6,0.8,0,0
"156",156,1,27,6,156,0.4,0.6,0,0,0,0,0,0.2,0.4,0.8,0,0
"157",157,1,28,1,157,0.4,0.4,0,0,0,0,0.2,0,0.6,0.8,0,0
"158",158,1,28,2,158,0.8,0.8,0,0,0,0,0,0,0.8,0.8,0,0
"159",159,1,28,3,159,0.6,0.4,0,0,0,0,0,0,0.6,0.8,0,0
"160",160,1,28,4,160,0.4,0.4,0,0,0,0,0,0,0.2,0.8,0,0
"161",161,1,28,5,161,0.2,0.2,0,0.2,0,0,0,0.6,0,0.2,0,0
"162",162,1,28,6,162,0.6,0.6,0,0.2,0,0,0,0,0.8,0.8,0,0
"163",163,2,1,1,1,0.2,0.4,0,0,0,0,0,0.2,0.6,0.6,0.2,0.2
"164",164,2,1,2,2,0.6,0.6,0.2,0.2,0,0,0.2,0.4,0.4,0.4,0.4,0
"165",165,2,1,3,3,0.4,0.6,0,0,0,0,0,0.2,0.2,0.4,0.2,0
"166",166,2,1,4,4,0.4,0.4,0,0,0,0,0.2,0,0.2,0.4,0.2,0
"167",167,2,1,5,5,0,0,0,0,0,0,0,0.2,0.2,0.4,0,0.2
"168",168,2,1,6,6,0.4,0.6,0.2,0,0,0,0,0.2,0,0.4,0,0
"169",169,2,2,1,7,0.4,0.6,0,0,0,0,0,0,0.2,0.6,0,0
"170",170,2,2,2,8,0.2,0.6,0,0,0,0,0,0,0.4,0.6,0.2,0
"171",171,2,2,3,9,0.2,0.6,0.2,0,0,0,0,0.2,0.4,0.6,0,0
"172",172,2,2,4,10,0.4,0.4,0,0,0.2,0,0.2,0.2,0.6,0.8,0,0.2
"173",173,2,2,5,11,0.2,0.4,0,0.6,0,0,0.2,0.2,0,0.2,0,0
"174",174,2,2,6,12,0,0,0.2,0,0,0,0,0.2,0.4,0.6,0,0
"175",175,2,3,1,13,0.4,0.6,0,0,0,0,0.2,0.2,0.4,0.4,0.2,0.2
"176",176,2,3,2,14,0.2,0.6,0,0,0,0,0,0,0.4,0.6,0,0.2
"177",177,2,3,3,15,0.2,0.8,0,0,0,0,0,0,0.2,0.6,0,0
"178",178,2,3,4,16,0.4,0.4,0,0,0,0,0,0,0.6,0.8,0,0
"179",179,2,3,5,17,0.4,0.2,0,0,0,0,0,0,0.8,0.6,0,0
"180",180,2,3,6,18,0.2,0,0,0.2,0,0,0.4,0.6,0,0.4,0.2,0.6
"181",181,2,4,1,19,0.2,0.4,0,0,0,0,0.2,0,0.4,0.6,0,0
"182",182,2,4,2,20,0,0.2,0,0,0,0,0,0,0.2,0.6,0,0
"183",183,2,4,3,21,0.2,0.6,0,0,0,0,0,0,0.2,0.6,0,0
"184",184,2,4,4,22,0,0.4,0,0,0,0,0.2,0.2,0.2,0.4,0,0
"185",185,2,4,5,23,0.4,0.6,0,0,0,0,0,0,0.2,0.4,0,0
"186",186,2,4,6,24,0,0,0,0.2,0,0,0.2,0.4,0,0.4,0.2,0.8
"187",187,2,5,1,25,0,0.6,0,0,0,0,0,0,0.4,0.8,0,0
"188",188,2,5,2,26,0,0.2,0,0,0,0,0,0.2,0.4,0.6,0,0
"189",189,2,5,3,27,0.2,0.4,0.2,0.2,0,0,0,0,0.6,0.8,0,0
"190",190,2,5,4,28,0.2,0.6,0,0,0,0,0,0.2,0.4,0.6,0,0
"191",191,2,5,5,29,0,0.2,0,0,0,0,0,0.2,0.2,0.6,0,0
"192",192,2,5,6,30,0,0.2,0,0,0,0,0,0.2,0,0.6,0,0.2
"193",193,2,6,1,31,0.2,0.6,0,0,0,0,0.2,0,0.4,0.6,0,0
"194",194,2,6,2,32,0.6,0.6,0,0.4,0,0,0.2,0,0.4,0,0,0
"195",195,2,6,3,33,0,0.6,0,0,0,0,0,0,0.6,0.6,0,0
"196",196,2,6,4,34,0.2,0.8,0,0,0,0,0,0.2,0.4,0.6,0.2,0
"197",197,2,6,5,35,0,0.6,0,0,0,0,0,0,0.4,0.6,0,0
"198",198,2,6,6,36,0.4,0.8,0.2,0,0,0,0,0.4,0.4,0.4,0,0
"199",199,2,7,1,37,0.4,0.6,0.2,0.2,0,0,0,0.2,0.4,0.4,0,0
"200",200,2,7,2,38,0.2,0.4,0,0,0,0,0.2,0,0.4,0.6,0,0
"201",201,2,7,3,39,0.2,0.6,0,0,0,0,0.2,0.4,0.2,0.6,0.2,0
"202",202,2,7,4,40,0.2,0.2,0,0,0,0,0,0.2,0.2,0.6,0,0
"203",203,2,7,5,41,0,0.6,0,0,0,0,0,0.2,0.4,0.6,0,0
"204",204,2,7,6,42,0,0,0,0.6,0,0,0.6,0.8,0,0,0.6,1
"205",205,2,8,1,43,0.4,0.8,0.2,0,0,0,0.2,0,0.2,0.6,0.2,0
"206",206,2,8,2,44,0.2,0.4,0,0,0,0,0,0.2,0.4,0.6,0,0
"207",207,2,8,3,45,0.2,0.6,0,0,0,0,0,0,0.4,0.6,0,0
"208",208,2,8,4,46,0.2,0.4,0,0,0,0,0.2,0.2,0.2,0.6,0,0
"209",209,2,8,5,47,0.2,0.2,0.2,0,0,0,0,0,0.2,0.6,0,0.4
"210",210,2,8,6,48,0,0.2,0,0,0,0,0,0,0.4,1,0,0
"211",211,2,9,1,49,0,0.4,0,0,0,0,0,0,0.4,0.6,0,0
"212",212,2,9,2,50,0,0,0,0.6,0,0,0.2,0,0,0.6,0,0
"213",213,2,9,3,51,0,0,0,0,0,0,0.4,0.4,0.2,0,0,0.2
"214",214,2,9,4,52,0.6,0.6,0,0,0,0,0,0,0.4,0.4,0,0
"215",215,2,9,5,53,0.4,0.4,0.4,0.4,0,0,0.2,0.4,0.4,0.4,0.2,0.4
"216",216,2,9,6,54,0.2,0.4,0,0,0.2,0,0.2,0.2,0.4,0.4,0,0
"217",217,2,10,1,55,0.2,0.4,0,0,0.2,0,0,0.4,0.4,0.4,0,0
"218",218,2,10,2,56,0.2,0.4,0,0.2,0,0,0,0,0,0.8,0,0.2
"219",219,2,10,3,57,0.2,0.4,0,0.2,0,0,0,0,0.4,0.6,0,0
"220",220,2,10,4,58,0.2,0.2,0,0.2,0,0,0,0.2,0.2,0.6,0,0
"221",221,2,10,5,59,0,0,0,0,0,0,0,0,0.2,0.4,0,0
"222",222,2,10,6,60,0.2,0.6,0,0.4,0,0,0,0.2,0.2,0.2,0,0.2
"223",223,2,11,1,61,0.2,0.4,0,0,0,0,0,0,0,0.8,0.2,0
"224",224,2,11,2,62,0.2,0.4,0,0.2,0,0,0.2,0.2,0.4,0.4,0,0.2
"225",225,2,11,3,63,0.2,0.4,0,0,0.2,0,0.2,0.2,0.2,0.6,0.2,0.4
"226",226,2,11,4,64,0.4,0.4,0.2,0.2,0,0,0.4,0.2,0.2,0.4,0.4,0.2
"227",227,2,11,5,65,0.6,0.8,0.2,0,0,0,0.2,0.2,0.4,0.4,0,0.2
"228",228,2,11,6,66,0.8,0.8,0,0,0,0,0.2,0.4,0.4,0.4,0.2,0.2
"229",229,2,12,1,67,0.2,0.2,0,0,0,0,0,0,0.4,0.8,0,0.2
"230",230,2,12,2,68,0.2,0.2,0,0.2,0,0,0.2,0.2,0.4,0.4,0.2,0.2
"231",231,2,12,3,69,0.2,0.2,0,0,0.2,0,0,0,0.8,0.8,0,0
"232",232,2,12,4,70,0.2,0.6,0,0,0,0,0.2,0.4,0.2,0.4,0.2,0.2
"233",233,2,12,5,71,0,0,0,0.4,0,0,0.2,0.4,0.2,0.4,0.2,0.4
"234",234,2,12,6,72,0,0.6,0,0,0,0,0.4,0.2,0.4,0.8,0.2,0.2
"235",235,2,13,1,73,0.2,0.4,0,0,0,0,0.2,0,0.6,0.8,0,0
"236",236,2,13,2,74,0,0.2,0,0,0,0,0.2,0,0.6,0.6,0,0
"237",237,2,13,3,75,0,0.2,0,0,0,0,0.2,0,0.2,0.4,0.2,0.2
"238",238,2,13,4,76,0,0,0,0.2,0,0,0.4,0.4,0.2,0.4,0.2,0.2
"239",239,2,13,5,77,0.4,0.6,0,0.4,0,0,0,0,0.2,0.2,0,0
"240",240,2,13,6,78,0.2,0.6,0.4,0,0,0,0,0,0.4,0.8,0,0
"241",241,2,13,7,79,0.4,0.6,0.2,0.4,0,0,0,0.2,0.2,0.4,0,0.2
"242",242,2,13,8,80,0.4,0.6,0.2,0,0,0,0,0,0.2,0.6,0,0
"243",243,2,14,1,81,0.4,0.6,0.2,0,0,0,0,0.2,0.6,0.6,0,0
"244",244,2,14,2,82,0.2,0.2,0,0,0,0,0.2,0.2,0.4,0.8,0,0
"245",245,2,14,3,83,0.4,0.4,0,0,0,0,0,0,0.6,0.6,0,0.2
"246",246,2,14,4,84,0.4,0.6,0.2,0,0,0,0,0,0.4,0.8,0,0
"247",247,2,15,1,85,0.2,0.2,0,0,0,0,0,0,0.8,0.6,0,0
"248",248,2,15,2,86,0.2,0.6,0,0,0,0,0.2,0.2,0.2,0.6,0,0.4
"249",249,2,15,3,87,0.2,0,0,0,0,0,0.4,0.2,0.2,0.4,0.2,0.2
"250",250,2,15,4,88,0.4,0.2,0.2,0,0,0,0.2,0.2,0.6,0.4,0,0.2
"251",251,2,15,5,89,0.2,0.6,0,0.2,0,0,0,0.2,0.8,0.6,0,0.2
"252",252,2,16,1,90,0.4,0.2,0.2,0.2,0,0,0,0.2,0.6,0.6,0,0
"253",253,2,16,2,91,0.4,0.4,0,0,0,0,0,0,0.8,0.8,0,0
"254",254,2,16,3,92,0.2,0.2,0,0,0,0,0,0,0.6,0.8,0,0
"255",255,2,16,4,93,0.4,0.4,0.2,0.2,0,0,0,0,0.4,0.6,0,0
"256",256,2,16,5,94,0,0.4,0.2,0,0,0,0,0,0.4,0.4,0,0
"257",257,2,17,1,95,0,0,0,0.4,0,0,0.4,0.6,0.2,0.2,0.2,0.4
"258",258,2,17,2,96,0.2,0.6,0,0,0,0,0.2,0.2,0.4,0.8,0,0.2
"259",259,2,17,3,97,0.6,0.8,0,0.2,0,0,0,0,0.4,0.6,0,0
"260",260,2,17,4,98,0.2,0.4,0,0,0,0,0.2,0.2,0.4,0.6,0,0.4
"261",261,2,17,5,99,0.2,0.4,0,0,0,0,0.2,0,0.4,0.6,0,0
"262",262,2,18,1,100,0.2,0,0,0,0,0,0.2,0.8,0,0.4,0.4,0.2
"263",263,2,18,2,101,0.2,0.6,0,0,0,0,0.2,0.2,0.6,0.8,0.2,0
"264",264,2,18,3,102,0,0,0,0,0,0,0,0.4,0.4,0.4,0.4,0.4
"265",265,2,18,4,103,0.2,0.6,0,0,0,0,0,0.2,0.4,0.4,0,0.2
"266",266,2,18,5,104,0.2,0.4,0.2,0.2,0,0,0,0,0.2,0.6,0,0.2
"267",267,2,19,1,105,0,0.2,0,0,0,0,0.2,0,0.6,0.8,0,0.2
"268",268,2,19,2,106,0.2,0.2,0,0.2,0,0,0.2,0.2,0.4,0.6,0,0
"269",269,2,19,3,107,0,0.4,0,0,0,0,0.2,0.2,0.2,0.6,0.2,0.2
"270",270,2,19,4,108,0.4,0.6,0,0.2,0,0,0,0,0.6,0.6,0,0
"271",271,2,19,5,109,0,0.2,0,0.2,0,0,0.2,0.2,0.2,0.6,0,0.2
"272",272,2,19,6,110,0,0,0,0,0,0,0.2,0,0.4,0.8,0,0.2
"273",273,2,20,1,111,0.4,0.8,0,0,0,0,0,0,0.6,0.4,0,0
"274",274,2,20,2,112,0,0.4,0,0.2,0,0,0.6,0,0,0.4,0,0
"275",275,2,20,3,113,0,0,0,0,0,0,0.2,0.2,0.4,0.6,0,0
"276",276,2,20,4,114,0,0,0,0,0,0,0.2,0.2,0.2,0.8,0,0
"277",277,2,20,5,115,0,0,0.2,0.8,0,0,0.2,0.2,0.2,0.4,0,0
"278",278,2,20,6,116,0,0.2,0,0,0,0,0.2,0.2,0,0.4,0,0
"279",279,2,21,1,117,0,0.4,0,0,0,0,0.2,0.2,0.4,0.6,0,0
"280",280,2,21,2,118,0.2,0.4,0,0,0.2,0,0.2,0.2,0.4,0.6,0,0
"281",281,2,21,3,119,0.2,0.4,0,0,0,0,0,0,0.6,0.6,0,0
"282",282,2,21,4,120,0,0,0,0,0,0,0.2,0.2,0.4,0.4,0.2,0
"283",283,2,21,5,121,0.2,0.2,0,0.6,0,0,0.4,0.4,0.2,0.2,0.4,0
"284",284,2,22,1,122,0.4,0.4,0,0,0,0,0,0,0.4,0.6,0,0
"285",285,2,22,2,123,0,0.4,0,0,0,0,0.2,0.2,0.8,0.6,0,0
"286",286,2,22,3,124,0,0.2,0,0,0,0,0,0,0.4,0.8,0,0
"287",287,2,23,1,125,0.4,0.6,0,0,0,0,0,0,0.6,0.6,0,0
"288",288,2,23,2,126,0.4,0.6,0,0,0,0,0.2,0,0.6,0.8,0,0
"289",289,2,23,3,127,0.4,0.6,0,0,0,0,0,0,0.4,0.8,0,0
"290",290,2,23,4,128,0,0.4,0,0.2,0,0,0.4,0.2,0.2,0.6,0,0
"291",291,2,23,5,129,0.2,0.4,0,0,0,0,0,0.2,0.6,0.6,0,0
"292",292,2,23,6,130,0,0.2,0,0.2,0,0,0.4,0.2,0.2,0.4,0,0.2
"293",293,2,24,1,131,0.4,0.6,0,0,0,0,0,0,0.4,0.8,0,0
"294",294,2,24,2,132,0.4,0.6,0,0.2,0,0,0,0,0.4,0.8,0,0
"295",295,2,24,3,133,0,0.4,0,0,0,0,0.2,0,0.4,0.6,0,0.2
"296",296,2,24,4,134,0,0.6,0,0,0.2,0,0,0.2,0.8,0.6,0,0
