"","X","ID","day","beep","observationID","Proud","Success","Superior","Angry","Excluded","Envious","Resentful","Ashamed","Insecure","Enthusiastic","Relaxed","Anxious","Sad","Lonely"
"31",31,1,9,1,31,0,0,0,0.6,0.2,0.4,0,0.4,0.2,0,0.4,0,0.2,0.2
"32",32,1,9,2,32,0,0,0,0,0.4,0.4,0,0.4,0.4,0.2,0.6,0,0.2,0.2
"33",33,1,9,3,33,0.2,0.2,0,0.2,0,0,0,0,0,0,0.8,0,0.2,0.2
"34",34,1,9,4,34,0.6,0.8,0.2,0.2,0.2,0,0,0.2,0.2,0.6,0.6,0,0,0.2
"35",35,1,9,5,35,0.2,0.2,0.4,0,0,0.4,0,0,0,0.6,1,0,0,0.2
"36",36,1,10,1,36,0,0.4,0.2,0.2,0.2,0.2,0,0.2,0.2,0.2,0.6,0.2,0.2,0.2
"37",37,1,10,2,37,0.2,0,0,0.6,0,0.2,0,0.2,0.2,0.4,0.4,0,0,0
"38",38,1,10,3,38,0,0.2,0,0.2,0,0,0,0.2,0.2,0,1,0,0,0
"39",39,1,11,1,39,0.6,0.4,0.6,0.4,0.2,0,0.2,0,0,0.6,0.8,0,0,0
"40",40,1,11,2,40,0.8,0.8,0.2,0.2,0.2,0,0,0,0,0.8,0.6,0,0.2,0.2
"41",41,1,11,3,41,0.4,0.6,0.2,0.2,0.4,0.2,0,0.2,0.2,0.4,0.6,0.2,0.2,0.4
"42",42,1,12,1,42,0,0.2,0,0,0,0,0,0,0,0.2,0.8,0,0,0
"43",43,1,12,2,43,0,0.2,0,0,0.2,0.2,0,0.2,0.2,0,0.8,0,0,0
"44",44,1,12,3,44,0,0,0.2,0.4,0,0,0.2,0.2,0,0,0.6,0,0.2,0
"45",45,1,12,4,45,0.4,0.6,0.2,0,0,0,0,0,0,0.2,0.8,0,0,0
"46",46,1,13,1,46,0,0.2,0,0.2,0,0,0,0,0,0.2,1,0,0,0
"47",47,1,13,2,47,0.8,0.8,0,0,0,0,0,0,0.4,0.4,0.4,0.4,0,0
"48",48,1,14,1,48,0,0.2,0,0,0,0,0,0,0,0.4,0.6,0,0,0
"49",49,1,14,2,49,0,0.8,0.2,0.2,0,0,0,0,0.4,0.2,0.6,0.2,0,0
"50",50,1,14,3,50,0,0,0,0.4,0,0.2,0,0.6,0.2,0,0.4,0,0.2,0
"51",51,1,14,4,51,0.4,0.4,0.2,0.2,0,0,0,0,0,0.2,0.6,0,0,0.2
"52",52,1,15,1,52,0,0,0,0,0,0,0,0,0.2,0.2,0.8,0,0,0
"53",53,1,15,2,53,0,0.2,0.2,0.2,0,0,0,0.2,0.2,0.2,0.6,0,0,0
"54",54,1,15,3,54,0.4,0.4,0.2,0.2,0,0.2,0,0.4,0.4,0.6,0.6,0.2,0.2,0
"55",55,1,15,4,55,0,0,0,0.6,0,0,0,0.8,0.4,0,0.2,0.4,0.4,0.2
"56",56,1,16,1,56,0,0.2,0,0,0,0,0,0.2,0.2,0,1,0,0,0
"57",57,1,16,2,57,0,0.2,0,0,0,0,0,0.2,0.2,0.4,0.6,0.2,0,0
"58",58,1,16,3,58,0.6,0.6,0.2,0,0,0,0,0,0.2,0.4,0.4,0,0,0
"59",59,1,17,1,59,0.2,0.2,0.2,0,0,0,0,0,0,0.2,0.8,0,0,0
"60",60,1,17,2,60,0,0.4,0,0,0,0,0,0.2,0,0.2,0.6,0,0,0
"61",61,1,17,3,61,0,0.2,0,0,0,0,0,0,0,0.2,1,0,0,0
"62",62,1,17,4,62,1,1,1,0,0,0,0,0,0,0.8,0.6,0,0,0
"63",63,1,18,1,63,0,0.2,0.2,0.2,0,0.2,0,0.2,0,0,0.8,0,0,0.2
"64",64,1,19,1,64,0.2,0.2,0,0.2,0,0,0,0,0,0,0.8,0,0,0
"65",65,1,19,2,65,0.2,0.2,0,0,0,0,0,0,0,0,1,0,0,0
"66",66,1,20,1,66,0,0,0,1,0,0,0.2,0,0,0,0.6,0,0,0
"67",67,1,20,2,67,0,0.4,0,0.2,0,0,0,0.2,0.2,0,0.6,0,0.2,0.2
"68",68,1,20,3,68,0,0,0,0.2,0,0,0,0.4,0.4,0,0.6,0,0,0
"69",69,1,20,4,69,0.4,0.4,0,0,0,0,0.2,0,0.2,0,0.6,0,0,0
"70",70,1,20,5,70,0.2,0.2,0,0,0,0,0,0,0,0.4,0.8,0,0,0
"71",71,1,20,6,71,0,0.4,0.2,0.4,0,0,0.2,0.2,0.2,0.2,0.6,0.2,0.2,0.2
"72",72,1,21,1,72,0,0.2,0.6,0.8,0.2,0,0.2,0,0.2,0,0.6,0,0,0
"73",73,1,21,2,73,0.2,0.2,0,0.2,0,0,0,0.2,0.4,0,0.4,0.2,0,0
"74",74,1,23,1,74,0,0.4,0.2,0,0,0,0,0.4,0,0.4,0.6,0,0.2,0.2
"75",75,1,23,2,75,0,0.4,0.2,0.2,0.2,0,0,0.2,0,0,0.8,0,0,0
"76",76,1,23,3,76,0,0.4,0,0,0,0.2,0,0.2,0.2,0.4,1,0,0,0
"77",77,1,24,1,77,0,0.4,0,0,0,0.4,0,0.2,0.2,0.6,1,0,0,0
"78",78,1,24,2,78,0,0.4,0,0,0,0.2,0,0,0.2,0.8,1,0,0,0.2
"79",79,1,24,3,79,0,0,0,0,0.2,0.2,0,0.2,0,0.2,1,0,0,0.2
"80",80,1,25,1,80,0,0,0,0.6,0.2,0.2,0.2,0.8,0.2,0,0.6,0,0.2,0
"81",81,1,25,2,81,0,0.2,0,0.4,0,0,0,0.6,0.4,0,0.2,0.2,0.2,0.4
"82",82,1,25,3,82,0.4,0.4,0,0.2,0,0,0,0.2,0.2,0.6,0.6,0,0.2,0
"83",83,1,26,1,83,0.4,0.4,0,0,0,0,0,0.2,0.2,0.8,1,0,0,0
"84",84,1,26,2,84,0.6,0.6,0.4,0,0,0,0,0,0,0.2,0.4,0,0,0
"85",85,1,26,3,85,0.2,0.4,0.4,0.6,0.4,0,0.2,0.6,0.2,0,0,0.6,0.2,0.4
"86",86,1,26,4,86,0.4,0.4,0,0,0.2,0.2,0.2,0.2,0.2,0,0.6,0,0.2,0.2
"87",87,1,27,1,87,0.2,0.2,0,0,0,0,0,0,0.4,0.2,0.6,0,0,0.2
"88",88,1,28,1,88,0.2,0.2,0,0,0,0.2,0,0,0.2,0.2,0.6,0,0,0
"89",89,1,28,2,89,0,0.6,0.2,0,0,0,0,0.4,0,0.6,0.8,0,0,0
"90",90,1,28,3,90,0,0,0,0,0,0,0,0.2,0.2,0.4,1,0,0,0
"91",91,2,1,1,1,0.8,0.8,0.6,0,0,0,0,0,0,0.6,0.8,0,0,0
"92",92,2,1,2,2,0.6,0.6,0,0,0,0,0,0,0,0.6,0.8,0,0,0
"93",93,2,2,1,3,0.8,0.8,0.2,0,0,0,0,0,0,0.6,0.6,0,0,0
"94",94,2,2,2,4,0.6,0.6,0,0,0,0,0,0,0,0.6,0.8,0,0,0
"95",95,2,2,3,5,0.4,0.6,0,0,0,0,0,0,0,0.6,0.8,0,0,0
"96",96,2,3,1,6,0.2,0.6,0,0,0,0,0,0,0,0.2,0.6,0,0,0
"97",97,2,3,2,7,0.4,0.6,0,0,0,0,0,0,0,0.4,0.6,0,0,0
"98",98,2,3,3,8,0.8,0.8,0,0,0,0,0,0,0,0.6,0.8,0,0,0
"99",99,2,3,4,9,0.2,0.2,0,0,0,0,0,0,0,0.4,0.8,0,0,0
"100",100,2,4,1,10,0.2,0.4,0,0,0,0,0,0,0,0.2,0.6,0,0,0
"101",101,2,4,2,11,0.4,0.4,0,0,0,0,0,0,0,0.2,0.4,0,0,0
"102",102,2,4,3,12,0.2,0.2,0,0,0,0,0,0,0,0.2,0.6,0,0,0
"103",103,2,4,4,13,0.2,0.2,0,0,0,0,0,0,0,0.2,0.6,0,0,0
"104",104,2,4,5,14,0.6,0.8,0,0,0,0,0,0,0,0.6,0.8,0,0,0
"105",105,2,5,1,15,0.4,0.6,0,0,0,0,0,0,0,0.4,0.6,0,0,0
"106",106,2,5,2,16,0.6,0.6,0,0,0,0,0,0,0,0.6,0.8,0,0,0
"107",107,2,6,1,17,0.4,0.4,0,0,0,0,0,0,0,0.2,0.8,0,0,0
"108",108,2,6,2,18,0.2,0.4,0,0,0,0,0,0,0,0.2,0.4,0,0,0
"109",109,2,6,3,19,0.8,0.8,0,0,0,0,0,0,0,0.8,0.6,0,0,0
"110",110,2,6,4,20,0.4,0.2,0,0,0,0,0,0,0,0.4,0.8,0,0,0
"111",111,2,7,1,21,0.4,0.8,0,0,0,0,0,0,0,0,0.6,0,0,0
"112",112,2,7,2,22,0.4,0.4,0,0,0,0,0,0,0,0.4,0.8,0,0,0
"113",113,2,7,3,23,0.6,0.6,0,0,0,0,0,0,0,0.4,0.8,0,0,0
"114",114,2,8,1,24,0.4,0.4,0,0,0,0,0,0,0,0.2,0.4,0,0,0
"115",115,2,8,2,25,0.4,0.4,0,0,0,0,0,0,0,0.4,0.6,0,0,0
"116",116,2,9,1,26,0.6,0.6,0,0,0,0,0,0,0,0.6,0.6,0,0,0
"117",117,2,9,2,27,0.4,0.4,0.2,0,0,0,0,0,0,0.2,0.6,0,0,0
"118",118,2,9,3,28,0.4,0.4,0,0,0,0,0,0,0,0.2,0.4,0,0,0
"119",119,2,10,1,29,0.2,0.4,0,0,0,0,0,0,0,0.2,0.4,0,0,0
"120",120,2,10,2,30,0.8,0.6,0,0,0,0,0,0,0,0.6,0.6,0,0,0
"121",121,2,10,3,31,0.6,0.4,0,0,0,0,0,0,0,0.4,0.6,0,0,0
"122",122,2,10,4,32,0.4,0.4,0,0,0,0,0,0,0,0.2,0.6,0,0,0
"123",123,2,11,1,33,0.2,0.2,0,0,0,0,0,0,0,0.2,0.4,0,0,0
"124",124,2,11,2,34,0.6,0.6,0,0,0,0,0,0,0,0.4,0.6,0,0,0
"125",125,2,11,3,35,0.4,0.4,0,0,0,0,0,0,0,0.2,0.4,0,0,0
"126",126,2,11,4,36,0.8,0.8,0.2,0,0,0,0,0,0,0.4,0.4,0,0,0
"127",127,2,11,5,37,0.4,0.6,0,0,0,0,0,0,0,0.2,0.4,0,0,0
"128",128,2,11,6,38,0.4,0.8,0,0,0,0,0,0,0,0.8,0.6,0,0,0
"129",129,2,12,1,39,0.6,0.6,0,0,0,0,0,0,0,0.6,0.6,0,0,0
"130",130,2,12,2,40,0.4,0.4,0,0,0,0,0,0,0,0.4,0.6,0,0,0
"131",131,2,12,3,41,1,1,0,0,0,0,0,0,0,1,0.6,0,0,0
"132",132,2,13,1,42,0.6,0.8,0,0,0,0,0,0,0,0.6,1,0,0,0
"133",133,2,13,2,43,0.6,0.8,0,0,0,0,0,0,0,0.8,0.8,0,0,0
"134",134,2,14,1,44,0.4,0.6,0,0,0,0,0,0,0,0.4,0.6,0,0,0
"135",135,2,14,2,45,0.6,0.6,0,0,0,0,0,0,0,0.6,0.6,0,0,0
"136",136,2,15,1,46,0.6,0.6,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0.4,0
"137",137,2,15,2,47,0.8,0.8,0,0,0,0,0,0,0,0.8,1,0,0,0
"138",138,2,15,3,48,0.4,0.4,0,0,0,0,0,0,0,0.2,0.4,0,0,0
"139",139,2,15,4,49,0.2,0.2,0,0,0,0,0,0,0,0.2,0.4,0,0,0
"140",140,2,16,1,50,0.4,0.8,0,0,0,0,0,0,0,0.4,0,0,0,0
"141",141,2,16,2,51,0.8,0.8,0.2,0,0,0,0,0,0,0.6,0.8,0,0,0
"142",142,2,16,3,52,0.4,0.4,0,0,0,0,0,0,0.2,0.2,0.2,0,0.2,0
"143",143,2,17,1,53,0.4,0.4,0,0,0,0,0,0,0,0.2,0.2,0,0,0
"144",144,2,17,2,54,0.2,0.2,0,0,0,0,0,0,0,0.2,0.2,0,0,0
"145",145,2,18,1,55,0.2,0.2,0,0.2,0,0,0,0,0.4,0.2,0.2,0,0,0
"146",146,2,18,2,56,0.4,0.6,0,0,0,0,0,0,0,0.4,0.6,0,0,0
"147",147,2,18,3,57,0.2,0.2,0,0.2,0,0,0,0,0,0,0.4,0,0,0
"148",148,2,19,1,58,0.4,0.4,0,0,0,0,0,0,0,0.2,0.2,0,0,0
"149",149,2,19,2,59,0.4,0.4,0,0,0,0,0,0,0,0.2,0.4,0,0,0
"150",150,2,19,3,60,0.6,0.6,0,0,0,0,0,0,0,0.6,0.8,0,0,0
"151",151,2,19,4,61,0.2,0.2,0,0,0,0,0,0,0,0.2,0.4,0,0,0
"152",152,2,20,1,62,1,1,0,0,0,0,0,0,0,1,1,0,0,0
"153",153,2,21,1,63,0.6,0.6,0,0,0,0,0,0,0,0.4,0.8,0,0,0
"154",154,2,21,2,64,0.4,0.4,0,0,0,0,0,0,0,0.4,0.6,0,0,0
"155",155,2,21,3,65,1,0.8,0,0,0,0,0,0,0,1,1,0,0,0
"156",156,2,21,4,66,0.2,0.2,0,0,0,0,0,0,0,0.2,0.4,0,0,0
"157",157,2,22,1,67,0.6,0.8,0,0,0,0,0,0,0,0.6,1,0,0,0
"158",158,2,22,2,68,0.6,0.4,0,0,0,0,0,0,0,0.4,0.8,0,0,0
"159",159,2,22,3,69,0.4,0.4,0,0,0,0,0,0,0,0.4,0.4,0,0,0
"160",160,2,22,4,70,0.2,0.2,0.2,0,0,0,0,0,0,0.2,0.4,0,0,0
"161",161,2,23,1,71,0.2,0.2,0,0,0,0,0,0,0,0.2,0.2,0,0,0
"162",162,2,23,2,72,0.6,0.4,0,0,0,0,0,0,0,0.4,0.8,0,0,0
"163",163,2,23,3,73,0.4,0.6,0,0,0,0,0,0,0,0.2,0.8,0,0,0
"164",164,2,23,4,74,0.4,0.2,0,0,0,0,0,0,0,0.2,0.6,0,0,0
"165",165,2,24,1,75,0.4,0.4,0,0,0,0,0,0,0,0.2,0.4,0,0,0
"166",166,2,24,2,76,0.2,0.2,0,0,0,0,0,0,0,0.2,0.6,0,0,0
"167",167,2,24,3,77,0.4,0.2,0,0,0,0,0,0,0,0.2,0.4,0,0,0
"168",168,2,25,1,78,0.8,0.8,0,0,0,0,0,0,0,0.6,0.6,0,0,0
"169",169,2,26,1,79,0.4,0.4,0,0,0,0,0,0,0,0.4,0.6,0,0,0
"170",170,2,26,2,80,0.4,0.4,0,0,0,0,0,0,0,0.4,0.4,0,0,0
"171",171,2,26,3,81,0.2,0.2,0,0,0,0,0,0,0,0.2,0.2,0,0,0
"172",172,2,27,1,82,0.6,0.6,0,0.2,0,0,0,0,0,0.2,0.4,0,0,0
"173",173,2,27,2,83,0.8,0.6,0,0,0,0,0,0,0,0.4,0.8,0,0,0
"174",174,2,27,3,84,0.4,0.4,0,0,0,0,0,0,0,0.4,0.4,0,0,0
"175",175,2,28,1,85,0.4,0.6,0,0,0,0,0,0,0,0.4,0.8,0,0,0
"176",176,2,28,2,86,0.4,0.4,0,0,0,0,0,0,0,0.2,0.2,0,0,0
"177",177,2,28,3,87,1,1,0,0,0,0,0,0,0,1,1,0,0,0
"178",178,3,1,1,1,0,0,0,0,0.8,0,0,0,0,0.8,0.6,0,0,0
"179",179,3,1,2,2,0,0,0,0,0.2,0,0,0,0,0.6,0.6,0,0,0
"180",180,3,1,3,3,0,0,0,0,0,0,0,0,0,0.6,0.6,0,0,0
"181",181,3,2,1,4,0,0,0,0,0,0,0,0,0,0.6,0.4,0,0,0
"182",182,3,2,2,5,0.4,1,0,0,0,0,0,0,0,0.6,0.8,0,0,0
"183",183,3,2,3,6,0,0.6,0,0,0,0,0,0,0,0.4,0.6,0,0,0
"184",184,3,2,4,7,0,0.6,0,0,0,0,0,0,0,0.2,0.8,0,0,0
"185",185,3,2,5,8,0,0,0,0,0,0,0,0,0,0.2,0.4,0,0,0
"186",186,3,2,6,9,0.6,0.8,0.6,0.2,0,0,0,0,0,0.2,0.6,0,0,0
"187",187,3,3,1,10,0,0,0,0,0.2,0,0,0,0,0,0.6,0,0,0
"188",188,3,3,2,11,0.6,1,0,0,0,0,0,0,0,0.6,0.6,0,0,0
"189",189,3,3,3,12,0,0.6,0,0,0,0,0,0,0,0.2,0.8,0,0,0
"190",190,3,3,4,13,0,0.6,0,0,0,0,0,0,0,0.4,0.8,0,0,0
"191",191,3,3,5,14,0,0.6,0,0,0,0,0,0,0,0.6,0.6,0,0,0
"192",192,3,3,6,15,0,0.4,0.2,0,0,0,0,0,0,0.4,0.6,0,0,0
"193",193,3,4,1,16,0.4,0.8,0,0,0,0,0,0,0,0.4,0.8,0,0,0
"194",194,3,4,2,17,0,0.4,0,0.4,0.2,0,0,0.4,0,0.2,0.2,0,0.2,0
"195",195,3,4,3,18,0,0.4,0,0,0,0,0,0,0,0.2,0.6,0,0,0
"196",196,3,4,4,19,0.6,0.8,0,0,0,0,0,0,0,0.6,0.6,0,0,0
"197",197,3,4,5,20,0.6,1,0.4,0,0,0,0,0,0,0.8,0.4,0,0,0
"198",198,3,5,1,21,0,0.2,0,0.4,0,0,0,0,0,0.2,0.4,0,0,0.2
"199",199,3,5,2,22,0.6,0.8,0.4,0,0,0,0,0,0,0.8,0.6,0,0,0
"200",200,3,5,3,23,0,0.8,0.4,0,0,0,0,0,0,0,0.6,0,0,0
"201",201,3,5,4,24,0.2,0.4,0,0,0,0,0,0,0,0.8,0.8,0,0,0
"202",202,3,5,5,25,0.2,0.6,0,0,0,0,0,0,0.4,0,0.4,0,0,0
"203",203,3,5,6,26,0.6,1,0.4,0,0,0,0,0,0,0.8,0.6,0,0,0
"204",204,3,6,1,27,0,0.4,0.2,0.6,0.4,0,0,0,0,0.2,0.4,0,0.4,0.2
"205",205,3,6,2,28,0.6,1,0.6,0,0,0,0,0.2,0,0.8,0.8,0,0,0
"206",206,3,6,3,29,1,1,0.4,0,0,0,0,0,0,1,0.6,0,0,0
"207",207,3,6,4,30,0,0.2,0,0.2,0.2,0,0,0.2,0,0.2,0.4,0,0.2,0.2
"208",208,3,6,5,31,0,0.2,0.2,1,0.2,0,0,0,0,0,0,0,0.6,0.6
"209",209,3,7,1,32,0,0.2,0,0,0,0,0,0,0,0.2,0.8,0,0,0
"210",210,3,7,2,33,0.8,1,0.4,0,0,0,0,0,0,1,0,0,0,0
"211",211,3,7,3,34,0.6,1,0.2,0,0,0,0,0,0,0.2,0.6,0,0,0.2
"212",212,3,7,4,35,1,1,0.8,0,0,0,0,0,0,1,0.8,0,0,0.6
"213",213,3,7,5,36,0.2,0.6,0,0.2,0.2,0,0,0,0.2,0,0.2,0,0,0.2
"214",214,3,8,1,37,0,0.4,0,0,0,0,0,0,0,0.4,0.6,0,0,0
"215",215,3,8,2,38,0.8,0.8,0.4,0,0,0,0,0,0,0.6,0.6,0,0,0
"216",216,3,8,3,39,0,0,0,0,0.4,0,0,0,0,1,0.8,0,0,0.4
"217",217,3,8,4,40,0,0.2,0,0,0.6,0,0,0,0,0.4,0.6,0,0,0
"218",218,3,8,5,41,0,0.4,0.8,0.2,0,0,0,0,0,0.4,0.6,0,0,0
"219",219,3,9,1,42,0.8,1,0.6,0,0,0,0,0,0,0.4,0.6,0,0,0
"220",220,3,9,2,43,0,0,0.2,0,0,0,0,0.4,0.4,0,0.2,0,0.2,0.2
"221",221,3,9,3,44,0.4,0.8,0.2,0,0,0,0,0,0,0.2,0.8,0,0,0
"222",222,3,9,4,45,0.8,1,0.4,0,0,0,0,0,0,0.8,0.8,0,0,0
"223",223,3,9,5,46,0.8,1,0.6,0,0,0,0,0,0,0.8,0.6,0,0,0
"224",224,3,10,1,47,0,0,0,0.2,0,0,0,0,0,0,0.2,0,0.2,0
"225",225,3,10,2,48,0.6,1,0.4,0,0,0,0,0,0,0.4,0,0,0,0
"226",226,3,10,3,49,0.4,0.8,0.2,0.2,0,0,0,0,0,0.4,0.6,0,0,0
"227",227,3,10,4,50,0,0.4,0.2,0,0,0,0,0,0,0.4,0.8,0,0,0
"228",228,3,10,5,51,0.6,1,0.2,0,0,0,0,0,0,0.8,0.6,0,0,0
"229",229,3,10,6,52,0,0.4,0.2,0.2,0,0,0,0,0,0.2,0.6,0.4,0,0
"230",230,3,11,1,53,0.4,0.2,0.8,1,0,0,0,0,0,0,0,0,0,0
"231",231,3,11,2,54,0.4,0.8,0.4,0,0,0,0,0,0,0.2,0.8,0,0,0
"232",232,3,11,3,55,0.2,0.6,0,0,0,0,0,0,0,0.4,0.6,0,0,0
"233",233,3,11,4,56,0,0.6,0,0,0,0,0,0,0,0.4,0.6,0,0,0
"234",234,3,11,5,57,0,0,0,0,0,0,0,0,0,0.4,0.6,0,0,0
"235",235,3,12,1,58,0,0.2,0.2,0.2,0,0,0,0,0,0.2,0.2,0,0,0.2
"236",236,3,12,2,59,0,0.8,0,0,0,0,0,0.2,0,0.4,0.6,0,0,0
"237",237,3,12,3,60,0.2,0.6,0,0,0.2,0,0,0,0,0.4,0.6,0,0,0
"238",238,3,12,4,61,0,0.8,0.8,0.8,0,0,0.4,0,0,0.2,0.2,0,0,0
"239",239,3,13,1,62,0,0.4,0,0,0,0,0,0,0,0.2,0.8,0,0,0
"240",240,3,13,2,63,0,0.2,0,0.4,0.6,0,0,0,0,0.2,0.4,0,0.2,0.4
"241",241,3,13,3,64,0.8,1,0.6,0.2,0,0,0,0,0,0.8,0.8,0,0,0
"242",242,3,13,4,65,0,0.4,0,0,0,0,0,0,0,0.4,0.6,0,0,0
"243",243,3,13,5,66,0.4,1,0.4,0,0,0,0,0,0,0.6,0.6,0,0,0
"244",244,3,13,6,67,0,0.4,0,0,0,0,0,0,0,0.2,0.6,0,0,0
"245",245,3,14,1,68,0,0,0,0,0,0,0,0,0,0.2,0.6,0,0,0.2
"246",246,3,14,2,69,0.2,0,0,1,0,0,0,0,0.2,0,0.2,0,0.2,0.6
"247",247,3,14,3,70,0.6,1,0.6,0.4,0,0,0,0,0,0.4,0.4,0,0,0
"248",248,3,14,4,71,0.2,0.6,0,0,0,0,0,0,0,0.4,0.6,0,0,0
"249",249,3,14,5,72,0,0.6,0.2,0,0,0,0,0,0,0.4,0.6,0,0,0
"250",250,3,14,6,73,0.2,0.4,0.4,0.2,0,0,0,0.2,0.2,0,0.2,0,0.2,0.2
"251",251,3,15,1,74,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0
"252",252,3,15,2,75,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0
"253",253,3,15,3,76,0.8,1,0.8,0,0,0,0,0,0,0.8,0.6,0,0,0
"254",254,3,15,4,77,0.6,0.8,0.6,0,0,0,0,0,0,0.4,0.4,0,0,0
"255",255,3,16,1,78,0,0.6,0.2,0,0.4,0,0,0,0,0,0.4,0,0,0.4
"256",256,3,16,2,79,0.2,0.4,0,0,0,0,0,0,0,0,0.6,0,0,0
"257",257,3,16,3,80,0,1,0,0,0,0,0,0,0,0,0.4,0,0,0
"258",258,3,16,4,81,0.8,0.8,0.4,0,0,0,0,0,0,0.4,0.4,0,0,0
"259",259,3,16,5,82,0,0.4,0.2,0.4,0,0,0,0,0.4,0.2,0.2,0,0,0
"260",260,3,17,1,83,0,0.2,0,0,0,0,0,0,0,0.2,0.4,0,0,0
"261",261,3,17,2,84,0,0.2,0,0,0,0,0,0,0,0.4,0.6,0,0,0
"262",262,3,17,3,85,0.6,0.6,0.4,0,0,0,0,0,0,0.8,0.6,0,0,0
"263",263,3,17,4,86,0,0.2,0,0,0,0,0,0,0,0,0.8,0,0,0
"264",264,3,17,5,87,0.4,0.6,0.6,0,0,0,0,0,0,0.4,0.4,0,0,0
"265",265,3,18,1,88,0.8,0.8,0.2,0,0,0,0,0,0,0.8,0.4,0,0,0
"266",266,3,18,2,89,0.2,0.4,0.2,0,0,0,0,0,0,0.2,0.4,0,0,0
"267",267,3,18,3,90,0.8,1,0.6,0,0,0,0,0,0,0.6,0.6,0,0,0
"268",268,3,18,4,91,1,1,0.8,0,0,0,0,0,0,0.8,0.6,0,0,0
"269",269,3,18,5,92,0.6,0.6,0.4,0,0,0,0,0,0,0.4,0.6,0,0,0
"270",270,3,19,1,93,0.2,0.4,0,0,0,0,0,0,0,0.4,0.4,0,0,0
"271",271,3,19,2,94,0,0.8,0,0,0,0,0,0,0,0.6,0.6,0,0,0
"272",272,3,19,3,95,0.2,0.4,0.2,0.2,0,0,0,0,0,0.2,0.4,0,0.2,0
"273",273,3,19,4,96,0.4,0.8,0.4,0,0,0,0,0,0,0.4,0.6,0,0,0
